id,name,carbohydrate,protein,fat,calories
135,장어초밥,80.7,16.5,10.8,486.3
136,참치덮밥,102.9,29.2,16.7,679.1
137,참치마요네즈 삼각김밥,32,3.9,3.2,172.4
138,충무김밥,109.2,23.4,6,583.9
139,캘리포니아롤,89.2,12.3,9,487.6
140,한치초밥,77.9,13.7,0.8,374.2
141,해물덮밥,100.4,42,22.4,771.9
142,해물볶음밥,90.5,25.1,27,705.2
143,회덮밥,103.3,30.2,16.6,683
144,깻잎나물볶음,11.5,7.5,14.4,206
145,돼지고기볶음,18.2,23,20.7,350.7
146,돼지껍데기볶음,24.5,25.8,16.7,352
147,두부김치,14.1,19.5,17.1,288.2
148,머위나물볶음,7.6,3.5,7,108
149,멸치풋고추볶음,3.4,4.7,2.2,52.4
150,소세지볶음,31.8,18.8,29.9,471
151,순대볶음,76.7,20.7,21.3,582
152,양송이버섯볶음,11,4.5,8.3,136
153,오삼불고기,20.5,25.6,19.9,363
154,주꾸미볶음,22.8,18.3,5.2,211.4
155,표고버섯볶음,15.8,4.5,6.7,142
156,해물볶음,32.2,38.2,15.3,419.1
157,곰보빵,42.2,6.3,9.3,277.3
158,만주,46.8,5.1,1.6,222.5
159,버터크림빵,27.7,4.9,11,230
160,불고기피자,61.2,27.4,16.7,505
161,참치샌드위치,36.5,23.3,35.1,555
162,찹쌀도우넛,40,3.5,3.7,207
163,채소고로케,31.2,7.1,16.4,300.7
164,초콜릿케이크,43.6,5.3,25,420.2
165,치즈케이크,28.6,7.2,20.6,329.1
166,치즈피자,71.2,31.4,15.8,553
167,페이스트리빵,32.5,6,18.4,319.6
168,포테이토피자,71.6,28,25.5,628
169,수정과,20.3,0.6,5.5,133
170,식혜,24.3,2.3,2.6,130.1
171,간장마늘쫑장아찌,5.4,1,0.5,30
172,고추장마늘쫑장아찌,10.5,1.3,0.9,55
173,매실장아찌,17.4,0.5,0.1,72.9
174,무장아찌,5,0.4,0.2,23.9
175,계적,0,57.7,30.4,488.1
176,낙지꼬지,2.8,13.1,1.3,75.4
177,돔베기적,0,30.1,7.4,187.1
178,소고기산적,7.3,48.4,25.6,453.1
179,소라산적,6.5,17.9,2.5,120.1
180,오징어산적,3.6,17.4,2,101.7
181,홍어적,0,23.6,0.7,100.3
182,홍합산적,10.6,17.8,4.8,156.7
183,가자미전,6.9,25.8,11.1,230.3
184,고추전,17,12.9,17.2,274.7
185,굴전,14.5,10.6,10.5,195
186,깻잎전,14.5,17.7,25.8,361.1
187,녹두빈대떡,20.9,7.9,10.3,207.9
188,동그랑땡(육원전),12.7,19.6,20,309.2
189,동태전,10.5,22.6,15,268
